size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,2,75,35,3,3,0,medium,alns_fixed,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,155,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,91.0,22.0,9.0,16.0,101.0,75.0,1400.0,0.0,,0.0,0.0,0.0,36.0,16.0,11.0,18.0,19.0,32.0,24.0,26.0,18.0,465.919364,1043.763721,3249.196185,0.0,0.0,215.508773,0.222222,0.222222,75,1.0,0,0.23776,16530.125938820034,0.0,0.0
M,2,75,35,3,3,0,medium,alns_pinn,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,155,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.711904,1040.335072,3249.196185,0.0,0.0,136.36627,1.0,1.0,75,1.0,0,0.077036,17902.551561820044,0.0,0.0
M,2,75,35,3,3,0,medium,alns_pinn_uq,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,155,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.149676,1026.137187,3228.702689,0.0,0.0,136.544474,1.0,1.0,74,1.013514,0,0.068838,17832.411688060038,0.0,0.0
M,2,75,35,3,3,0,medium,alns_pinn_full,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,155,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,13.0,22.0,3.0,101.0,75.0,1400.0,4.0,risk_value_order,0.0,132.674347,429.451997,26.0,19.0,15.0,10.0,30.0,41.0,32.0,10.0,17.0,459.500224,925.525157,3228.702689,0.0,0.0,132.674347,1.0,1.0,74,1.013514,0,0.548279,16991.294147060038,0.0,0.0
M,2,75,35,3,3,1,medium,greedy_nearest,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,132,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.692113,776.411935,3551.418253,0.0,0.0,185.585281,0.277778,0.277778,75,1.0,0,0.010399,13702.22990486782,0.0,0.0
M,2,75,35,3,3,1,medium,ga,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,132,genetic_order_search,968.0,50.0,30.0,0.0,14097.297715,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.349898,1105.144578,3551.418253,0.0,0.0,124.435116,0.944444,0.944444,75,1.0,0,0.135582,19104.34586586782,0.0,0.0
M,2,75,35,3,3,1,medium,aco,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,132,ant_colony_order_search,1200.0,50.0,0.0,24.0,12021.048651,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.144033,1066.223393,3551.418253,0.0,0.0,124.634457,0.944444,0.944444,75,1.0,0,0.226494,18944.94909286782,0.0,0.0
M,2,75,35,3,3,1,medium,alns_fixed,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,132,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,93.0,28.0,7.0,17.0,101.0,75.0,1400.0,0.0,,0.0,0.0,0.0,16.0,20.0,22.0,13.0,29.0,24.0,37.0,26.0,13.0,512.477188,1050.136762,3551.418253,0.0,0.0,234.775511,0.277778,0.277778,75,1.0,0,0.230249,17858.067802867823,0.0,0.0
M,2,75,35,3,3,1,medium,alns_pinn,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,132,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.556201,998.352227,3551.418253,0.0,0.0,120.519445,0.944444,0.944444,75,1.0,0,0.060233,18095.887475867814,0.0,0.0
M,2,75,35,3,3,1,medium,alns_pinn_uq,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,132,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.757694,991.317473,3551.418253,0.0,0.0,121.418431,1.0,1.0,75,1.0,0,0.057504,18163.16416186782,0.0,0.0
M,2,75,35,3,3,1,medium,alns_pinn_full,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,132,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,74.0,23.0,26.0,5.0,101.0,75.0,1400.0,4.0,point_local,0.0,120.519445,473.541326,20.0,21.0,20.0,16.0,23.0,36.0,32.0,10.0,22.0,499.556201,998.352227,3551.418253,0.0,0.0,120.519445,0.944444,0.944444,75,1.0,0,0.438363,18095.887475867814,0.0,0.0
M,3,100,50,3,3,0,medium,greedy_nearest,kmeans,3,M100_P50_seed0_medium_kmeans50,not_milp,not_milp,False,not_milp,5000,298,0.9404,177,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.512618,1192.328462,4632.009696,0.01,0.01,252.86306,0.36,0.36,100,1.0,0,0.009612,25882.63525230838,0.0,0.0
M,3,100,50,3,3,0,medium,ga,kmeans,3,M100_P50_seed0_medium_kmeans50,not_milp,not_milp,False,not_milp,5000,298,0.9404,177,genetic_order_search,972.0,50.0,30.0,0.0,28307.288986,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.997888,1812.310546,4632.009696,0.01,0.01,198.425882,1.0,1.0,100,1.0,0,0.19412,37583.92449330839,0.0,0.0
