stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,8,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9389.246480548802,348.46644,741.311097,15858.846419,0.546667,0.546667,150353.140211,0.555556,0.444444,2835.3611,0.078032,127.0,13.0,13.0,13.0
sparse_high_wind,8,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9573.1431299888,329.930897,740.929958,15842.690186,0.706667,0.706667,147031.368598,0.611111,0.277778,2556.3669,0.08861,112.0,22.0,28.0,19.0
sparse_high_wind,8,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8344.317628548799,347.80244,710.501117,15858.846419,0.546667,0.546667,203001.946296,0.277778,0.277778,2835.3611,0.088351,128.0,21.0,12.0,17.0
sparse_high_wind,8,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8266.907008188798,346.290209,724.41842,15853.404383,0.706667,0.706667,200764.61556,0.277778,0.277778,2556.3669,0.06504,128.0,21.0,12.0,17.0
sparse_high_wind,9,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10097.166469181597,357.855378,649.155744,16241.493564,0.546667,0.546667,149439.232188,0.611111,0.388889,2842.8024,0.074935,112.0,33.0,28.0,15.0
sparse_high_wind,9,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10102.475750181597,358.139174,654.497023,16241.493564,0.546667,0.546667,149385.349092,0.611111,0.388889,2842.8024,0.077718,125.0,27.0,15.0,18.0
sparse_high_wind,9,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10102.475750181597,358.139174,654.497023,16241.493564,0.546667,0.546667,149385.349092,0.611111,0.388889,2842.8024,0.087802,121.0,17.0,19.0,16.0
sparse_high_wind,9,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10288.857665581603,374.880425,677.264486,16217.907681,0.786667,0.786667,147575.348427,0.611111,0.333333,2615.6797,0.079226,112.0,30.0,28.0,13.0
sparse_high_wind,9,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8697.1873981816,357.488878,528.576088,16241.493564,0.546667,0.546667,205929.785174,0.388889,0.388889,2842.8024,0.083664,127.0,18.0,13.0,12.0
sparse_high_wind,9,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8581.7842220616,353.229242,571.334023,16264.772846,0.786667,0.786667,202393.371337,0.388889,0.333333,2615.6797,0.073448,126.0,17.0,14.0,16.0
tight_battery,0,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7027.584670036799,251.150223,830.340916,10620.450163,0.466667,0.466667,140558.776179,0.833333,0.666667,2748.4295,0.114999,110.0,14.0,30.0,11.0
tight_battery,0,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7027.584670036799,251.150223,830.340916,10620.450163,0.466667,0.466667,140558.776179,0.833333,0.666667,2748.4295,0.096924,125.0,19.0,15.0,12.0
tight_battery,0,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7027.584670036799,251.150223,830.340916,10620.450163,0.466667,0.466667,140558.776179,0.833333,0.666667,2748.4295,0.096925,123.0,17.0,17.0,17.0
tight_battery,0,no_uq,alns_full_no_uq,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7079.293744076799,250.201857,819.146972,10598.143939,0.72,0.72,137966.553177,0.833333,0.333333,2371.4732,0.092821,116.0,29.0,24.0,16.0
