stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,7,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19756.998878821963,635.443523,593.515414,15920.975696,0.533333,0.533333,181.307175,0.5,0.277778,75,1.0,3426.0351,0.266619,123.0,15.0,17.0,15.0
sparse_high_wind,7,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19756.998878821963,635.443523,593.515414,15920.975696,0.533333,0.533333,181.307175,0.5,0.277778,75,1.0,3426.0351,0.365029,123.0,15.0,17.0,15.0
sparse_high_wind,7,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19389.26266830196,605.59798,528.73868,15903.911758,0.706667,0.706667,162.38251,0.5,0.222222,75,1.0,3213.5352,0.415497,114.0,15.0,26.0,11.0
sparse_high_wind,7,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16011.575558821964,534.679848,416.08845,15920.975696,0.533333,0.533333,226.552582,0.111111,0.111111,75,1.0,3426.0351,0.24959,128.0,15.0,12.0,13.0
sparse_high_wind,7,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,15500.235541621965,526.091733,386.406696,15917.791766,0.706667,0.706667,220.245044,0.111111,0.111111,75,1.0,3213.5352,0.148428,128.0,15.0,12.0,13.0
sparse_high_wind,8,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18175.857903879918,569.60907,523.464839,15858.846419,0.546667,0.546667,147.063359,0.611111,0.5,75,1.0,2835.3611,0.251464,105.0,15.0,35.0,13.0
sparse_high_wind,8,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18175.857903879918,569.60907,523.464839,15858.846419,0.546667,0.546667,147.063359,0.611111,0.5,75,1.0,2835.3611,0.27325,124.0,22.0,16.0,21.0
sparse_high_wind,8,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18175.857903879918,569.60907,523.464839,15858.846419,0.546667,0.546667,147.063359,0.611111,0.5,75,1.0,2835.3611,0.203871,123.0,11.0,17.0,11.0
sparse_high_wind,8,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19046.845001319918,620.115091,571.837531,15842.690186,0.706667,0.706667,139.80047,0.666667,0.333333,75,1.0,2556.3669,0.19272,108.0,18.0,32.0,14.0
sparse_high_wind,8,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,15995.353793879913,517.970162,427.089148,15858.846419,0.546667,0.546667,193.927656,0.333333,0.333333,75,1.0,2835.3611,0.224304,130.0,22.0,10.0,18.0
