stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,9,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10102.475750181597,358.139174,654.497023,16241.493564,0.546667,0.546667,149385.349092,0.611111,2842.8024,0.103007,125.0,27.0,15.0,18.0
sparse_high_wind,9,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10102.475750181597,358.139174,654.497023,16241.493564,0.546667,0.546667,149385.349092,0.611111,2842.8024,0.100739,121.0,17.0,19.0,16.0
sparse_high_wind,9,no_uq,rv_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,12842.294503581601,337.529382,671.345966,16217.907681,0.786667,0.786667,176201.392841,0.888889,2615.6797,0.01909,0.0,0.0,0.0,0.0
sparse_high_wind,9,no_risk_value,uq_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,12923.497358181603,336.235137,734.313605,16241.493564,0.546667,0.546667,177215.784521,0.888889,2842.8024,0.025246,0.0,0.0,0.0,0.0
sparse_high_wind,9,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8581.784222061598,353.948953,510.362443,16264.772846,0.786667,0.786667,202788.641639,0.388889,2615.6797,0.076914,126.0,18.0,14.0,15.0
tight_battery,0,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7027.584670036799,251.150223,830.340916,10620.450163,0.466667,0.466667,140558.776179,0.833333,2748.4295,0.131915,110.0,14.0,30.0,11.0
tight_battery,0,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7027.584670036799,251.150223,830.340916,10620.450163,0.466667,0.466667,140558.776179,0.833333,2748.4295,0.130276,125.0,19.0,15.0,12.0
tight_battery,0,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7027.584670036799,251.150223,830.340916,10620.450163,0.466667,0.466667,140558.776179,0.833333,2748.4295,0.127293,123.0,17.0,17.0,17.0
tight_battery,0,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8645.162331076803,240.38917,804.499253,10598.143939,0.72,0.72,153615.900428,1.0,2371.4732,0.031494,0.0,0.0,0.0,0.0
tight_battery,0,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8702.3946510368,245.915131,893.855208,10620.450163,0.466667,0.466667,156981.636576,0.944444,2748.4295,0.03048,0.0,0.0,0.0,0.0
tight_battery,0,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5759.004280076801,245.927738,755.274337,10598.143939,0.72,0.72,187964.311532,0.277778,2371.4732,0.103576,125.0,22.0,15.0,18.0
tight_battery,1,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7015.5901157056,239.256125,898.699599,10250.103544,0.426667,0.426667,129771.69955,0.611111,2422.7936,0.134681,106.0,23.0,34.0,14.0
tight_battery,1,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7015.5901157056,239.256125,898.699599,10250.103544,0.426667,0.426667,129771.69955,0.611111,2422.7936,0.12813,120.0,20.0,20.0,13.0
