tower_id,stop_id,uav_id,start,finish,energy_mean,energy_q95,feasible,value,risk,vehicle_id,vehicle_arrival,vehicle_departure,road_travel,priority,sortie_id,risk_value,duration,service_rank,id_tower,x_tower,y_tower,risk_value_tower,id_stop,x_stop,y_stop,q95_margin,case_id,battery_limit,metrics_rwct,metrics_topcov,metrics_ifr
16,7,2,204.261735,209.575335,32.427388,40.452462,True,99.141,0.4534,2,203.746778,210.090292,2.016276,0.009768315279,43,0.009768315278777227,5.313600000000008,43,16,-5.631692,4.724901,0.009768315278777227,7,-5.45381,5.077357,91.547538,public_bay_area_full,132.0,104.570332,1.0,0.0
23,13,0,204.548415,210.263215,82.476483,102.88762,True,98.6755,0.5537,0,200.728904,214.082725,7.30306,0.011849712136,42,0.011849712135945547,5.714799999999997,44,23,-2.201034,-3.962348,0.011849712135945547,13,-0.865222,-1.35649,29.11238,public_bay_area_full,132.0,104.570332,1.0,0.0
48,24,1,205.890944,211.485744,62.848885,78.402618,True,95.2255,0.5237,1,203.445729,213.930958,4.225087,0.009907261074,44,0.00990726107351959,5.594800000000021,45,48,5.300277,8.502743,0.00990726107351959,24,5.727221,10.328143,53.597381999999996,public_bay_area_full,132.0,104.570332,1.0,0.0
11,6,2,215.245154,220.505954,39.326895,49.059447,True,97.623,0.4402,2,214.299141,221.451968,4.208849,0.009002275451,45,0.009002275451425502,5.260799999999989,46,11,-6.093746,1.209046,0.009002275451425502,6,-5.830229,0.533335,82.940553,public_bay_area_full,132.0,104.570332,1.0,0.0
46,21,1,219.627745,225.130545,27.270375,34.0192,True,92.5805,0.5007,1,219.492601,225.265689,5.561642,0.008521074648,46,0.008521074648261262,5.502800000000008,47,46,4.336904,4.474223,0.008521074648261262,21,4.234634,4.490835,97.9808,public_bay_area_full,132.0,104.570332,1.0,0.0
14,3,0,222.335803,227.573803,34.285712,42.770681,True,96.9675,0.4345,0,221.699427,228.210179,7.616702,0.008680590528,47,0.008680590527623667,5.2379999999999995,48,14,-5.800562,4.650434,0.008680590527623667,3,-6.184338,4.951683,89.229319,public_bay_area_full,132.0,104.570332,1.0,0.0
39,19,1,231.30511,236.77831,35.895555,44.778925,True,91.7295,0.4933,1,230.587719,237.495702,5.32203,0.008094097147,48,0.008094097146667168,5.473199999999991,49,39,3.298429,9.799233,0.008094097146667168,19,3.645181,10.226156,87.221075,public_bay_area_full,132.0,104.570332,1.0,0.0
55,27,2,235.28273,240.74633,33.008554,41.177454,True,91.4535,0.4909,2,234.760991,241.268068,13.309023,0.007957605794,49,0.007957605793577537,5.463600000000014,50,55,7.219275,5.785847,0.007957605793577537,27,7.471458,6.096336,90.822546,public_bay_area_full,132.0,104.570332,1.0,0.0
36,18,0,238.68793,244.13953,39.220393,48.926588,True,91.1085,0.4879,0,237.772018,245.055442,9.561839,0.007788360775,50,0.0077883607753952725,5.451600000000013,51,36,2.757456,1.010474,0.0077883607753952725,18,3.127355,0.4136,83.07341199999999,public_bay_area_full,132.0,104.570332,1.0,0.0
50,25,2,247.469231,252.854831,40.772308,50.862568,True,89.211,0.4714,2,246.4651,253.858962,5.197031,0.006884706476,52,0.006884706476046677,5.385599999999982,52,50,5.6623,1.068418,0.006884706476046677,25,6.270055,0.595895,81.13743199999999,public_bay_area_full,132.0,104.570332,1.0,0.0
0,0,1,249.757361,254.847361,32.196236,40.164105,True,92.7125,0.3975,1,249.235623,255.3691,11.739921,0.006725988512,51,0.00672598851226218,5.090000000000003,53,0,-8.833146,6.412064,0.00672598851226218,0,-8.580963,6.722553,91.835895,public_bay_area_full,132.0,104.570332,1.0,0.0
8,5,0,253.975346,259.053346,34.282588,42.766783,True,92.3675,0.3945,0,253.336924,259.691767,8.281482,0.006577649291,53,0.006577649291327298,5.0779999999999745,54,8,-6.148637,-1.24007,0.006577649291327298,5,-5.670374,-1.344147,89.233217,public_bay_area_full,132.0,104.570332,1.0,0.0
10,5,3,254.249968,259.321168,37.971888,47.369105,True,92.172,0.3928,0,253.336924,260.234211,0.0,0.006494265689,54,0.006494265689199159,5.071200000000005,55,10,-6.111695,-1.887503,0.006494265689199159,5,-5.670374,-1.344147,84.63089500000001,public_bay_area_full,132.0,104.570332,1.0,0.0
57,28,2,256.668539,261.525339,34.538191,43.085643,True,74.008,0.3392,2,255.951147,262.24273,2.092185,0.00130596302,56,0.001305963020024675,4.856799999999964,56,57,8.187859,0.263644,0.001305963020024675,28,8.534611,0.690567,88.914357,public_bay_area_full,132.0,104.570332,1.0,0.0
58,29,2,270.826009,275.540409,30.842466,38.475306,True,69.914,0.3036,2,269.677593,282.637194,7.434863,0.000308545712,57,0.00030854571211326155,4.714400000000012,57,58,8.564997,-6.730171,0.00030854571211326155,29,9.203861,-7.336016,93.524694,public_bay_area_full,132.0,104.570332,1.0,0.0
1,2,0,270.616123,275.800123,52.14978,65.055718,True,95.415,0.421,0,266.208979,285.105108,5.974768,0.007940611953,55,0.007940611952653618,5.183999999999969,58,1,-7.949019,-10.751274,0.007940611952653618,2,-6.335661,-7.782531,66.944282,public_bay_area_full,132.0,104.570332,1.0,0.0
59,29,2,277.061351,281.724151,30.842466,38.475306,True,68.4305,0.2907,2,269.677593,282.637194,7.434863,0.0,57,0.0,4.662800000000004,59,59,8.76254,-7.879372,0.0,29,9.203861,-7.336016,93.524694,public_bay_area_full,132.0,104.570332,1.0,0.0
3,2,0,277.525706,282.289306,52.14978,65.055718,True,83.3285,0.3159,0,266.208979,285.105108,5.974768,0.003233232578,55,0.00323323257774153,4.763599999999997,60,3,-6.990293,-9.839664,0.00323323257774153,2,-6.335661,-7.782531,66.944282,public_bay_area_full,132.0,104.570332,1.0,0.0
