size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,2,medium,alns_pinn_full,direct,3,M50_P25_seed2_medium,not_milp,1250,1250,0.0,1250,77.0,14.0,23.0,5.0,101.0,50.0,900.0,20.0,19.0,24.0,16.0,21.0,32.0,42.0,10.0,16.0,115.248401,607.982232,2685.531329,0.0,0.0,43367.324487,0.833333,0,0.049732,2671.3417402896002,0.0,0.0
M,1,50,25,2,2,2,medium,alns_pinn_full,kmeans,3,M50_P25_seed2_medium_kmeans25,not_milp,1250,148,0.8816,86,75.0,13.0,25.0,5.0,101.0,50.0,900.0,20.0,18.0,26.0,14.0,22.0,38.0,34.0,13.0,15.0,107.803716,623.766889,2360.349157,0.0,0.0,39110.109441,0.916667,0,0.050241,2330.8472760496,0.0,0.0
M,1,50,25,2,2,2,medium,alns_pinn_full,dbscan,3,M50_P25_seed2_medium_dbscan3,not_milp,150,72,0.52,11,78.0,16.0,22.0,8.0,101.0,50.0,900.0,17.0,24.0,20.0,16.0,23.0,25.0,47.0,10.0,18.0,327.675966,309.469,9422.907405,0.62,0.62,122651.243946,0.666667,2219.9834,0.011191,7786.594172849599,0.0,0.0
M,1,50,25,2,2,3,medium,alns_pinn_full,direct,3,M50_P25_seed3_medium,not_milp,1250,1250,0.0,1250,79.0,17.0,21.0,7.0,101.0,50.0,900.0,19.0,15.0,22.0,20.0,24.0,27.0,47.0,9.0,17.0,117.729448,617.025591,2602.116088,0.0,0.0,62232.613629,0.916667,0,0.049252,2785.3782212280003,0.0,0.0
M,1,50,25,2,2,3,medium,alns_pinn_full,kmeans,3,M50_P25_seed3_medium_kmeans25,not_milp,1250,150,0.88,100,73.0,12.0,27.0,1.0,101.0,50.0,900.0,17.0,16.0,25.0,26.0,16.0,34.0,36.0,14.0,16.0,103.465363,695.546335,2141.216734,0.0,0.0,53386.366315,0.916667,0,0.051933,2361.1077761079996,0.0,0.0
M,1,50,25,2,2,3,medium,alns_pinn_full,dbscan,3,M50_P25_seed3_medium_dbscan3,not_milp,150,82,0.453333,16,81.0,21.0,19.0,14.0,101.0,50.0,900.0,28.0,22.0,12.0,15.0,23.0,32.0,45.0,7.0,16.0,327.760383,293.342438,8329.843233,0.58,0.58,149234.630224,0.583333,2194.3632,0.011469,7280.829430748002,0.0,0.0
M,1,50,25,2,2,4,medium,alns_pinn_full,direct,3,M50_P25_seed4_medium,not_milp,1250,1250,0.0,1250,73.0,20.0,27.0,6.0,101.0,50.0,900.0,29.0,19.0,15.0,19.0,18.0,37.0,31.0,11.0,21.0,117.198357,616.469627,2736.275426,0.0,0.0,54666.318074,1.0,0,0.050657,2588.2471629767997,0.0,0.0
M,1,50,25,2,2,4,medium,alns_pinn_full,kmeans,3,M50_P25_seed4_medium_kmeans25,not_milp,1250,148,0.8816,93,73.0,7.0,27.0,6.0,101.0,50.0,900.0,30.0,22.0,7.0,17.0,24.0,42.0,29.0,14.0,15.0,107.798411,598.117943,2302.363068,0.0,0.0,46596.664507,0.916667,0,0.05011,2160.1414550568,0.0,0.0
M,1,50,25,2,2,4,medium,alns_pinn_full,dbscan,3,M50_P25_seed4_medium_dbscan3,not_milp,150,72,0.52,11,77.0,25.0,23.0,13.0,101.0,50.0,900.0,28.0,20.0,15.0,22.0,15.0,34.0,38.0,12.0,16.0,320.190628,250.185505,9113.910371,0.64,0.64,137651.977828,0.75,2377.5633,0.010539,7321.642621016801,0.0,0.0
M,1,50,25,2,2,5,medium,alns_pinn_full,direct,3,M50_P25_seed5_medium,not_milp,1250,1250,0.0,1250,75.0,18.0,25.0,3.0,101.0,50.0,900.0,11.0,21.0,19.0,23.0,26.0,36.0,38.0,14.0,12.0,115.824236,608.56008,2486.068692,0.0,0.0,61712.111814,0.833333,0,0.051073,2526.1228808216,0.0,0.0
