size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,0,medium,alns_pinn_full,direct,3,M50_P25_seed0_medium,not_milp,not_milp,False,not_milp,1250,1250,0.0,103,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,79.0,19.0,21.0,8.0,101.0,50.0,900.0,16.0,23.0,19.0,13.0,29.0,28.0,38.0,8.0,26.0,503.078647,619.174825,2569.977634,0.0,0.0,151.561654,1.0,1.0,49,1.020408,0,0.230003,12534.36159880753,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,107,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,16.0,23.0,1.0,101.0,50.0,900.0,22.0,15.0,21.0,12.0,30.0,38.0,33.0,10.0,19.0,469.103695,612.788059,2210.077894,0.0,0.0,131.441136,0.916667,0.916667,50,1.0,0,0.190051,10996.593976607526,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,dbscan,3,M50_P25_seed0_medium_dbscan3,not_milp,not_milp,False,not_milp,150,76,0.493333,13,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,70.0,20.0,30.0,11.0,101.0,50.0,900.0,34.0,11.0,17.0,11.0,27.0,35.0,31.0,16.0,18.0,515.840122,200.483967,8683.940785,0.6,0.6,131.35343,0.833333,0.5,50,1.0,2189.4075,0.062906,11156.090182487533,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,direct,3,M50_P25_seed1_medium,not_milp,not_milp,False,not_milp,1250,1250,0.0,99,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,72.0,12.0,28.0,6.0,101.0,50.0,900.0,25.0,17.0,24.0,17.0,17.0,43.0,27.0,17.0,13.0,500.214335,647.844104,2581.842911,0.0,0.0,137.336951,1.0,1.0,50,1.0,0,0.166741,11554.94913134422,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,100,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,9.0,23.0,6.0,101.0,50.0,900.0,23.0,20.0,20.0,14.0,23.0,39.0,35.0,15.0,11.0,450.622536,617.403276,2209.459151,0.0,0.0,131.557701,0.916667,0.916667,50,1.0,0,0.171766,11031.024331424223,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,dbscan,3,M50_P25_seed1_medium_dbscan3,not_milp,not_milp,False,not_milp,150,74,0.506667,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,14.0,22.0,14.0,101.0,50.0,900.0,24.0,15.0,18.0,17.0,26.0,42.0,35.0,11.0,12.0,516.546385,214.699742,8964.560408,0.612245,0.612245,122.265852,0.416667,0.25,49,1.020408,2349.0558,0.046676,10276.473960864223,0.0,0.0
M,1,50,25,2,2,2,medium,alns_pinn_full,direct,3,M50_P25_seed2_medium,not_milp,not_milp,False,not_milp,1250,1250,0.0,89,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,7.0,25.0,4.0,101.0,50.0,900.0,18.0,24.0,18.0,17.0,23.0,30.0,42.0,11.0,17.0,492.385434,627.064133,2685.531329,0.0,0.0,128.2506,1.0,1.0,50,1.0,0,0.136272,11982.90791118178,0.0,0.0
M,1,50,25,2,2,2,medium,alns_pinn_full,kmeans,3,M50_P25_seed2_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,86,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,10.0,22.0,7.0,101.0,50.0,900.0,14.0,22.0,24.0,17.0,23.0,32.0,42.0,11.0,15.0,454.165117,593.944827,2338.441053,0.0,0.0,123.883391,0.916667,0.916667,49,1.020408,0,0.194978,11345.470328501784,0.0,0.0
M,1,50,25,2,2,2,medium,alns_pinn_full,dbscan,3,M50_P25_seed2_medium_dbscan3,not_milp,not_milp,False,not_milp,150,72,0.52,11,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,18.0,20.0,13.0,101.0,50.0,900.0,19.0,16.0,21.0,19.0,25.0,29.0,47.0,10.0,14.0,459.714738,181.674814,9422.907405,0.62,0.62,123.140929,0.666667,0.416667,50,1.0,2219.9834,0.083318,10871.240483741782,0.0,0.0
M,1,50,25,2,2,3,medium,alns_pinn_full,direct,3,M50_P25_seed3_medium,not_milp,not_milp,False,not_milp,1250,1250,0.0,112,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,71.0,12.0,29.0,8.0,101.0,50.0,900.0,18.0,17.0,25.0,20.0,20.0,29.0,38.0,11.0,22.0,498.292771,605.56074,2580.379087,0.0,0.0,139.875599,0.916667,0.916667,49,1.020408,0,0.183894,12057.874202310053,0.0,0.0
