size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,3,high,no_uq,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.92733,652.828149,2141.216734,0.0,0.0,53605.078481,0.916667,0,0.011696,2388.478216868,0.0,0.0
M,1,50,25,2,2,3,high,no_risk_value,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.21002,676.792255,2141.216734,0.0,0.0,53958.398617,0.833333,0,0.013506,2379.1567628680004,0.0,0.0
M,1,50,25,2,2,3,high,no_clustering,direct,3,M50_P25_seed3_high,not_milp,1250,1250,0.0,1250,100.0,7.0,0.0,7.0,101.0,50.0,900.0,20.0,23.0,23.0,18.0,16.0,48.0,52.0,117.729448,617.025591,2602.116088,0.0,0.0,62232.613629,0.916667,0,0.029223,2805.7862943079995,0.0,0.0
M,1,50,25,2,2,4,high,alns_pinn_full,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,100.0,7.0,0.0,7.0,101.0,50.0,900.0,26.0,18.0,11.0,22.0,23.0,43.0,57.0,109.645474,587.256225,2302.363068,0.0,0.0,46636.311797,0.916667,0,0.031865,2180.2825015368,0.0,0.0
M,1,50,25,2,2,4,high,no_pinn,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.100908,451.48118,2300.154328,0.02,0.02,67696.611067,0.416667,0,0.001753,1978.1987194967999,0.0,0.0
M,1,50,25,2,2,4,high,no_adaptive,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.968334,583.269528,2300.154328,0.02,0.02,46514.729037,0.916667,0,0.014824,2215.1872814968,0.0,0.0
M,1,50,25,2,2,4,high,no_uq,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.379919,526.947836,2300.154328,0.02,0.02,46427.579169,0.916667,0,0.012031,2225.5603764968,0.0,0.0
M,1,50,25,2,2,4,high,no_risk_value,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.975792,615.116524,2302.363068,0.0,0.0,46566.727639,0.916667,0,0.012305,2219.0591975368,0.0,0.0
M,1,50,25,2,2,4,high,no_clustering,direct,3,M50_P25_seed4_high,not_milp,1250,1250,0.0,1250,100.0,6.0,0.0,6.0,101.0,50.0,900.0,25.0,19.0,12.0,22.0,22.0,43.0,57.0,122.488609,585.963416,2738.288517,0.0,0.0,54700.097399,1.0,0,0.028078,2612.6377951368004,0.0,0.0
M,1,50,25,2,2,5,high,alns_pinn_full,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,100.0,3.0,0.0,3.0,101.0,50.0,900.0,16.0,13.0,22.0,24.0,25.0,49.0,51.0,105.531888,591.515714,2196.675411,0.0,0.0,56173.018581,0.833333,0,0.030033,2303.7928918616008,0.0,0.0
