size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,4,high,no_uq,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,False,0.25,True,75.0,11.0,25.0,8.0,101.0,50.0,900.0,26.0,19.0,14.0,18.0,23.0,36.0,35.0,12.0,17.0,415.307691,556.067045,2300.154328,0.02,0.02,103.479862,0.916667,0.916667,50,1.0,0,0.106524,9892.220830968743,0.0,0.0
M,1,50,25,2,2,4,high,no_risk_value,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.0,True,89.0,21.0,11.0,18.0,101.0,50.0,900.0,30.0,20.0,12.0,23.0,15.0,32.0,28.0,25.0,15.0,408.920654,563.401464,2302.363068,0.0,0.0,169.887573,0.333333,0.333333,50,1.0,0,0.164866,9643.009780008746,0.0,0.0
M,1,50,25,2,2,4,high,no_energy_repair,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,87.0,13.0,13.0,9.0,101.0,50.0,900.0,22.0,21.0,16.0,21.0,20.0,43.0,37.0,0.0,20.0,435.065714,559.55118,2302.363068,0.0,0.0,99.326384,1.0,1.0,50,1.0,0,0.124459,9566.108966008744,0.0,0.0
M,1,50,25,2,2,4,high,no_sync_repair,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,13.0,20.0,5.0,101.0,50.0,900.0,23.0,13.0,14.0,24.0,26.0,49.0,30.0,21.0,0.0,435.065714,559.55118,2302.363068,0.0,0.0,99.326384,1.0,1.0,50,1.0,0,0.100036,9566.108966008744,0.0,0.0
M,1,50,25,2,2,4,high,no_clustering,direct,3,M50_P25_seed4_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,73,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,69.0,14.0,31.0,6.0,101.0,50.0,900.0,31.0,18.0,13.0,10.0,28.0,37.0,29.0,14.0,20.0,460.812934,583.007741,2738.288517,0.0,0.0,109.872188,1.0,1.0,50,1.0,0,0.099254,10549.182322608745,0.0,0.0
M,1,50,25,2,2,5,high,alns_pinn_full,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,76.0,16.0,24.0,4.0,101.0,50.0,900.0,13.0,17.0,27.0,19.0,24.0,37.0,34.0,15.0,14.0,453.64668,607.773917,2180.634484,0.0,0.0,115.951745,0.916667,0.916667,49,1.020408,0,0.105983,10091.618690767762,0.0,0.0
M,1,50,25,2,2,5,high,no_pinn,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,91.0,20.0,9.0,14.0,101.0,50.0,900.0,17.0,17.0,16.0,22.0,28.0,28.0,24.0,35.0,13.0,392.089802,525.286188,2196.675411,0.0,0.0,180.779472,0.25,0.25,50,1.0,0,0.113558,9286.016633007765,0.0,0.0
M,1,50,25,2,2,5,high,no_adaptive,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,False,64.0,26.0,36.0,4.0,101.0,50.0,900.0,23.0,17.0,17.0,21.0,22.0,24.0,28.0,23.0,25.0,457.458686,621.404087,2180.634484,0.0,0.0,116.132859,0.916667,0.916667,49,1.020408,0,0.135556,10147.965198767759,0.0,0.0
M,1,50,25,2,2,5,high,no_uq,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,False,0.25,True,78.0,29.0,22.0,4.0,101.0,50.0,900.0,22.0,19.0,14.0,19.0,26.0,34.0,35.0,12.0,19.0,470.294669,656.428673,2196.675411,0.0,0.0,117.755023,0.916667,0.916667,50,1.0,0,0.162647,10433.026362007766,0.0,0.0
M,1,50,25,2,2,5,high,no_risk_value,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.0,True,91.0,20.0,9.0,14.0,101.0,50.0,900.0,17.0,17.0,16.0,22.0,28.0,28.0,24.0,35.0,13.0,392.089802,525.286188,2196.675411,0.0,0.0,180.779472,0.25,0.25,50,1.0,0,0.101622,9286.016633007765,0.0,0.0
