size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed2_high_kmeans25,not_milp,1250,148,0.8816,76,76.0,19.0,24.0,5.0,101.0,50.0,900.0,19.0,18.0,26.0,15.0,22.0,34.0,38.0,12.0,16.0,108.144702,642.560367,2360.349157,0.0,0.0,39137.85184,0.916667,0,0.070427,2346.7914745296002,0.0,0.0,0.08,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,76.0,19.0,24.0,5.0,101.0,50.0,900.0,19.0,18.0,26.0,15.0,22.0,34.0,38.0,12.0,16.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.08164,2346.8271987296,0.0,0.0,0.12,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed2_high_kmeans25,not_milp,1250,142,0.8864,63,79.0,18.0,21.0,9.0,101.0,50.0,900.0,13.0,16.0,22.0,19.0,30.0,30.0,45.0,9.0,16.0,109.457529,658.69455,2365.276686,0.0,0.0,39242.227244,0.833333,0,0.076791,2332.9967599296006,0.0,0.0,0.2,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,36.0,11.0,14.0,5.0,51.0,50.0,450.0,8.0,8.0,14.0,8.0,12.0,19.0,16.0,5.0,10.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.07275,2346.8271987296,0.0,0.0,,50,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,76.0,19.0,24.0,5.0,101.0,50.0,900.0,19.0,18.0,26.0,15.0,22.0,34.0,38.0,12.0,16.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.072462,2346.8271987296,0.0,0.0,,100,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,130.0,28.0,30.0,5.0,161.0,50.0,1440.0,32.0,32.0,40.0,21.0,35.0,57.0,66.0,14.0,23.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.080445,2346.8271987296,0.0,0.0,,160,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed2_high_uav_count2_kmeans25,not_milp,1250,146,0.8832,70,76.0,19.0,24.0,5.0,101.0,50.0,900.0,19.0,18.0,26.0,15.0,22.0,34.0,38.0,12.0,16.0,208.705908,556.664406,2362.103865,0.0,0.0,72757.316858,0.916667,0,0.072404,4734.6949297296,0.0,0.0,,,2
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,uav_count,4,,M50_P25_seed2_high_uav_count4_kmeans25,not_milp,1250,146,0.8832,70,76.0,19.0,24.0,5.0,101.0,50.0,900.0,19.0,18.0,26.0,15.0,22.0,34.0,38.0,12.0,16.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.074451,2346.8271987296,0.0,0.0,,,4
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,uav_count,6,,M50_P25_seed2_high_uav_count6_kmeans25,not_milp,1250,146,0.8832,70,76.0,19.0,24.0,5.0,101.0,50.0,900.0,19.0,18.0,26.0,15.0,22.0,34.0,38.0,12.0,16.0,76.942266,613.738336,2362.103865,0.0,0.0,27823.025508,0.916667,0,0.073529,1550.2033467296,0.0,0.0,,,6
M,1,50,25,2,2,2,high,alns_pinn_full,direct,3,candidate_mode,direct,,M50_P25_seed2_high,not_milp,1250,1250,0.0,1250,77.0,23.0,23.0,7.0,101.0,50.0,900.0,20.0,22.0,26.0,12.0,20.0,35.0,35.0,12.0,18.0,120.809793,698.229428,2689.028868,0.0,0.0,43418.84891,0.833333,0,0.08299,2685.8072384096,0.0,0.0,,,
