size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,candidate_mode,kmeans,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,19.0,23.0,7.0,101.0,50.0,900.0,26.0,18.0,24.0,17.0,15.0,43.0,30.0,14.0,13.0,450.677628,615.329967,2264.168842,0.0,0.0,116.711142,0.833333,0.833333,0,0.096178,10469.00971471192,0.0,0.0,,,
M,1,50,25,2,2,7,high,alns_pinn_full,dbscan,3,candidate_mode,dbscan,,M50_P25_seed7_high_dbscan3,not_milp,not_milp,False,not_milp,150,68,0.546667,9,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,74.0,13.0,26.0,8.0,101.0,50.0,900.0,20.0,18.0,26.0,16.0,20.0,34.0,37.0,12.0,17.0,495.530354,228.250825,9260.624524,0.76,0.76,140.18001,0.75,0.166667,3373.543,0.028252,11845.259801271923,0.0,0.0,,,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed8_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,82,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,11.0,22.0,2.0,101.0,50.0,900.0,16.0,30.0,23.0,12.0,19.0,31.0,41.0,10.0,18.0,446.986074,586.094969,2262.887907,0.0,0.0,125.884642,1.0,1.0,0,0.091244,10946.012953473344,0.0,0.0,,,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed8_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,77,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,15.0,22.0,2.0,101.0,50.0,900.0,22.0,22.0,18.0,24.0,14.0,38.0,36.0,11.0,15.0,435.085363,563.012095,2262.887907,0.0,0.0,125.567387,1.0,1.0,0,0.096604,10825.628021153343,0.0,0.0,,,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed8_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,71,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,18.0,22.0,5.0,101.0,50.0,900.0,21.0,21.0,24.0,17.0,17.0,40.0,34.0,12.0,14.0,435.085363,563.012095,2262.887907,0.0,0.0,125.567387,1.0,1.0,0,0.118033,10834.776015593343,0.0,0.0,,,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed8_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,79,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,15.0,22.0,2.0,101.0,50.0,900.0,22.0,22.0,18.0,24.0,14.0,38.0,36.0,11.0,15.0,435.085363,563.012095,2262.887907,0.0,0.0,125.567387,1.0,1.0,0,0.104461,10825.628021153343,0.0,0.0,0.08,,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed8_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,77,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,15.0,22.0,2.0,101.0,50.0,900.0,22.0,22.0,18.0,24.0,14.0,38.0,36.0,11.0,15.0,435.085363,563.012095,2262.887907,0.0,0.0,125.567387,1.0,1.0,0,0.09376,10825.628021153343,0.0,0.0,0.12,,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed8_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,68,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,15.0,22.0,2.0,101.0,50.0,900.0,22.0,22.0,18.0,24.0,14.0,38.0,36.0,11.0,15.0,435.085363,563.012095,2262.887907,0.0,0.0,125.567387,1.0,1.0,0,0.09528,10825.628021153343,0.0,0.0,0.2,,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed8_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,77,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,42.0,15.0,8.0,2.0,51.0,50.0,450.0,10.0,12.0,11.0,12.0,5.0,22.0,16.0,3.0,9.0,435.085363,563.012095,2262.887907,0.0,0.0,125.567387,1.0,1.0,0,0.091638,10825.628021153343,0.0,0.0,,50,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed8_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,77,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,15.0,22.0,2.0,101.0,50.0,900.0,22.0,22.0,18.0,24.0,14.0,38.0,36.0,11.0,15.0,435.085363,563.012095,2262.887907,0.0,0.0,125.567387,1.0,1.0,0,0.09987,10825.628021153343,0.0,0.0,,100,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed8_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,77,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,126.0,15.0,34.0,2.0,161.0,50.0,1440.0,31.0,32.0,31.0,40.0,26.0,59.0,63.0,19.0,19.0,435.085363,563.012095,2262.887907,0.0,0.0,125.567387,1.0,1.0,0,0.117806,10825.628021153343,0.0,0.0,,160,
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed8_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,77,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,15.0,22.0,2.0,101.0,50.0,900.0,22.0,22.0,18.0,24.0,14.0,38.0,36.0,11.0,15.0,437.741166,546.422813,2262.887907,0.0,0.0,129.67276,1.0,1.0,0,0.095172,11092.779787153344,0.0,0.0,,,2
