size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,10.0,22.0,7.0,101.0,50.0,900.0,14.0,22.0,24.0,17.0,23.0,32.0,42.0,11.0,15.0,419.014679,530.505196,2360.349157,0.0,0.0,115.352133,0.916667,0.916667,50,1.0,0,0.08181,10462.95382382178,0.0,0.0,,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,17.0,20.0,7.0,101.0,50.0,900.0,20.0,19.0,26.0,15.0,20.0,31.0,46.0,10.0,13.0,418.17284,519.830683,2362.103865,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.073674,10287.285216621782,0.0,0.0,,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,144,0.8848,64,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,11.0,23.0,6.0,101.0,50.0,900.0,20.0,17.0,23.0,18.0,22.0,34.0,42.0,11.0,13.0,434.361628,552.380127,2363.695069,0.0,0.0,119.038765,0.916667,0.916667,50,1.0,0,0.076249,10789.897551821781,0.0,0.0,,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,15.0,23.0,7.0,101.0,50.0,900.0,20.0,21.0,23.0,16.0,20.0,32.0,42.0,13.0,13.0,418.17284,519.830683,2360.349157,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.085053,10288.288519421782,0.0,0.0,0.08,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,17.0,20.0,7.0,101.0,50.0,900.0,20.0,19.0,26.0,15.0,20.0,31.0,46.0,10.0,13.0,418.17284,519.830683,2362.103865,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.076632,10287.285216621782,0.0,0.0,0.12,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,142,0.8864,63,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,11.0,25.0,3.0,101.0,50.0,900.0,15.0,18.0,23.0,18.0,26.0,40.0,34.0,10.0,16.0,444.213835,569.516377,2365.276686,0.0,0.0,121.863826,0.833333,0.833333,50,1.0,0,0.074039,11019.260211821782,0.0,0.0,0.2,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,37.0,11.0,13.0,7.0,51.0,50.0,450.0,8.0,11.0,14.0,8.0,9.0,18.0,18.0,6.0,8.0,418.17284,519.830683,2362.103865,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.078166,10287.285216621782,0.0,0.0,,50,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,17.0,20.0,7.0,101.0,50.0,900.0,20.0,19.0,26.0,15.0,20.0,31.0,46.0,10.0,13.0,418.17284,519.830683,2362.103865,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.084332,10287.285216621782,0.0,0.0,,100,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,132.0,21.0,28.0,7.0,161.0,50.0,1440.0,33.0,32.0,40.0,25.0,30.0,54.0,74.0,14.0,18.0,418.17284,519.830683,2362.103865,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.067372,10287.285216621782,0.0,0.0,,160,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed2_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,17.0,20.0,7.0,101.0,50.0,900.0,20.0,19.0,26.0,15.0,20.0,31.0,46.0,10.0,13.0,456.50273,580.863198,2362.103865,0.0,0.0,119.891126,0.916667,0.916667,50,1.0,0,0.071403,11043.284298621778,0.0,0.0,,,2
